book_a;book_b;count
0451190491;0451190564;21
0553279556;0553284789;21
0553284789;0553279556;21
044022165X;044021145X;21
0316666343;0671003755;21
0842329242;0842329218;21
0842329242;0842329250;21
0316666343;067976402X;21
044021145X;0440211727;21
0312980140;0312971346;21
0064407675;0064407667;21
0842329250;0842329242;21
0553280341;0553271636;21
0553271636;0553280341;21
0312971346;0312980140;21
0064407667;0064407675;21
0440211727;044021145X;21
0553280341;0553279912;21
044021145X;044022165X;21
0553279912;0553280341;21
0553280368;0553280341;21
067976402X;0316666343;21
0553280341;0553280368;21
0451190564;0451190491;21
0440213525;044021145X;20
0553280341;0553284789;20
0060976845;0060928336;20
0515126772;0515128554;20
0451190556;0451190521;20
0439136369;0439139600;20
0671021001;0316666343;20
0553284789;0553280341;20
0515128554;0515126772;20
0515128546;0515128554;20
0439139600;0439136369;20
0061009059;0671001795;20
0060928336;0060976845;20
0515128554;0515128546;20
1400034779;1400031354;20
1400031354;1400034779;20
044021145X;0440213525;20
0451190521;0451190556;20
0671001795;0061009059;20
0312976275;0312980140;19
0439136369;043935806X;19
0060928336;0312195516;19
0842329242;0842329129;19
0449219364;0449219461;19
0316769487;0446310786;19
0515136530;051513628X;19
0312195516;0060928336;19
0451190548;0451190556;19
043935806X;0439136369;19
0451190521;0451190491;19
0451190564;0451190548;19
051513628X;0515136530;19
0451190556;0451190548;19
0553279556;0553280341;19
0312983867;0312980140;19
0451190548;0451190564;19
0449219461;0449219364;19
0515136379;051513628X;19
0842329129;0842329242;19
0451190491;0451190521;19
0312980140;0312976275;19
0439139600;059035342X;19
0446310786;0316769487;19
0312980140;0312983867;19
051513628X;0515136379;19
0553280341;0553279556;19
059035342X;0439139600;19
0451190521;0451190548;18
0375727345;0316666343;18
0553280341;0449219364;18
059035342X;0439136350;18
0671001795;0312976275;18
0425154092;0380718332;18
0380718332;0425154092;18
0156027321;0316666343;18
0425154092;0425147622;18
0451190491;0451190556;18
0446672211;0316601950;18
0451190548;0451190521;18
0312278586;0316666343;18
0515126772;0515128546;18
0316284955;0316666343;18
0515128546;0515126772;18
0451190521;0451190564;18
0451190564;0451190521;18
0061009059;0312966091;18
0449221512;0553284789;18
0345339681;0345339738;18
0312976275;0671001795;18
0877017883;0811801802;18
0449219364;0553284789;18
0425147622;0425154092;18
0345339738;0345339681;18
0449219364;0553280341;18
0811801802;0877017883;18
0553284789;0449221512;18
0385484518;0786868716;18
0451190556;0451190491;18
0312966091;0061009059;18
0316601950;0446672211;18
0345339711;0345339703;18
0345339703;0345339711;18
0439136350;059035342X;18
0786868716;0385484518;18
0553284789;0449219364;18
0451190556;0451190564;17
0440220602;0440213525;17
0553250531;0553250426;17
0451190521;0451190572;17
0446672211;0060928336;17
043935806X;0439064872;17
0449219364;0449221512;17
0312990456;0312966970;17
0553279912;0553280368;17
0440215625;0440212561;17
0451190564;0451190556;17
0312966970;0312990456;17
0743418174;0312195516;17
0449219461;0449221512;17
0786868716;0385504209;17
0316601950;0312195516;17
0553280368;0553279912;17
0375726403;0312195516;17
0312924585;0440206154;17
0375706771;0316666343;17
0316776963;0316666343;17
0553279556;0449219461;17
0553279556;0449221512;17
0375726403;0316666343;17
0553271636;0553279556;17
0449219461;0553279556;17
0440213525;0440220602;17
0312195516;0316601950;17
0449221482;0449221512;17
0440206154;0312924585;17
0553279556;0553271636;17
0312195516;0060930535;17
0449221512;0553279556;17
0449221512;0449221482;17
0449221512;0449219461;17
0451190572;0451190521;17
0440212561;0440215625;17
0385504209;0786868716;17
0449221512;0449219364;17
043935806X;0316666343;17
0312195516;0743418174;17
0064407667;0064407683;17
0439064872;043935806X;17
0553250426;0553250531;17
0064407683;0064407667;17
0312195516;0375726403;17
0060930535;0312195516;17
0060928336;0446672211;17
0440211727;0316666343;17
0060928336;0375727345;16
0375727345;0060928336;16
0842329269;0842329242;16
0345339703;0345339681;16
0553284789;0449219461;16
0440226430;0316666343;16
0425154092;0425163407;16
0439064864;059035342X;16
0375706771;0375727345;16
0441002935;0441003745;16
0345370775;0440206154;16
0446611212;0446605484;16
0671003755;0385504209;16
0553279556;0553280368;16
0446605484;0446611212;16
0515121843;051512317X;16
0440220602;0440211727;16
044021145X;0440221471;16
0142000205;0316666343;16
0440211727;0440220602;16
0345339681;0345339703;16
0312305060;0312195516;16
1400031362;1400031354;16
0441002935;0441004520;16
0440217563;0440215625;16
0312195516;0312305060;16
0441003745;0441002935;16
0451190548;0451190572;16
0446608955;0446605239;16
0441004520;0441002935;16
0452282152;0385504209;16
0385504209;0671003755;16
0441002935;0441001971;16
1400031354;1400031362;16
0440214041;0440220602;16
0441000916;0441002935;16
0743418174;0142001740;16
0312990456;0312966091;16
044021145X;0316666343;16
0312976275;0312983867;16
0425163407;0425154092;16
0385504209;0452282152;16
0449219461;0553284789;16
0375727345;0375706771;16
0345370775;0345337662;16
0451190572;0451190491;16
0842329242;0842329269;16
0345337662;0345370775;16
0440221471;044021145X;16
0440206154;0345370775;16
0553280368;0553279556;16
0385484518;0316666343;16
0142001740;0743418174;16
0451190572;0451190548;16
0440220602;0440214041;16
0441001971;0441002935;16
0312966091;0312990456;16
0441002935;0441000916;16
0451190491;0451190572;16
0440215625;0440217563;16
059035342X;0439064864;16
051512317X;0515121843;16
0312983867;0312976275;16
0446672211;0312195516;16
0446605239;0446608955;16
0312195516;0446672211;16
0312924585;0345370775;15
0312971346;0312983867;15
0440213525;0440221471;15
0316601950;0060930535;15
0842329129;0842332251;15
0345384466;0345337662;15
0449221512;0553280341;15
0451190572;0451190556;15
0786868716;0316666343;15
0064407675;0064407683;15
034540288X;0345370775;15
0553279912;0553279556;15
0811802981;0877017883;15
0441003745;0441001971;15
0064407683;0064407675;15
0452282152;0156027321;15
0312976275;0061009059;15
0451163524;0451160525;15
0553271636;0553279912;15
044021145X;0440224764;15
059035342X;0385504209;15
0156027321;0452282152;15
0441001971;0441003745;15
0060928336;0671021001;15
0451190564;0451190572;15
0515124214;0515121843;15
0375707972;0312195516;15
0385504209;059035342X;15
044021145X;044023722X;15
0553279556;0449219364;15
0451190572;0451190564;15
0060934417;0316666343;15
0743418174;0385335482;15
0451190556;0451190572;15
0385335482;0743418174;15
0345337662;0345384466;15
0671027360;0316666343;15
0553271636;0553280368;15
0449219461;0553271636;15
0385722206;0312195516;15
0553271636;0553284789;15
0451160525;0451163524;15
0061009059;0312971346;15
0440224764;044021145X;15
0553280341;0449221512;15
0842329250;0842329129;15
0452282152;0316666343;15
0312278586;0385335482;15
0060987529;0060987103;15
0553279556;0553279912;15
0385335482;0312278586;15
0312983867;0312971346;15
0449219364;0553279556;15
051512317X;0515124214;15
034538475X;0345384466;15
0061009059;0312976275;15
0425163407;0425147622;15
0842332251;0842329129;15
0440221471;0440213525;15
044023722X;044021145X;15
0553280368;0553271636;15
0451163524;0451173317;15
0345370775;0312924585;15
0425147622;0425163407;15
0515124214;051512317X;15
0842329129;0842329250;15
0312971346;0061009059;15
0877017883;0811802981;15
0345384466;034538475X;15
0060930535;0316666343;15
0385265700;0316666343;15
0452282152;0060928336;15
0060987103;0060987529;15
0451173317;0451163524;15
0345370775;034540288X;15
0671021001;0060928336;15
0060930535;0316601950;15
014028009X;0446672211;15
0142001740;0312195516;15
0060928336;0452282152;15
0515121843;0515124214;15
0449221482;0553284789;15
0553271636;0449219461;15
0553284789;0449221482;15
0553284789;0553271636;15
0446672211;014028009X;15
0553279912;0553271636;15
068484477X;0316666343;15
0375727345;0316601950;14
0441001971;0441000916;14
0385504209;0374199698;14
067976402X;0385504209;14
0142001740;0060987103;14
0449221482;0553279556;14
0425169863;0425154092;14
0743418174;0786868716;14
043935806X;0385504209;14
0440214041;0440221471;14
0553280368;0449219461;14
0375727345;067976402X;14
0385265700;068484477X;14
068484477X;0385265700;14
0375727345;0142001740;14
0440221471;0440214041;14
0786868716;0743418174;14
0553271636;0449221512;14
0811801802;0811802981;14
0316601950;0375727345;14
044023722X;0440236673;14
0142001740;0375727345;14
0446672211;0060930535;14
0440214041;044022165X;14
014028009X;0312195516;14
0452282829;0743237188;14
0312971346;0312990456;14
0142001740;0156027321;14
0345384466;0345313860;14
0312983867;0312966091;14
0449221512;0553271636;14
0842332251;0842329218;14
0064407667;043935806X;14
0060987103;0142001740;14
0553271636;0449219364;14
0385504209;0156027321;14
0440224675;0440206154;14
0553280368;0449219364;14
0440220602;0440224764;14
0312983867;0312966970;14
0385335881;0385336179;14
059035342X;044021145X;14
044021145X;059035342X;14
0316769487;0316666343;14
0441000916;0441001971;14
0671003755;0446672211;14
0156027321;0385504209;14
0064407667;0064407691;14
0064407691;0064407667;14
0440220602;044022165X;14
0312966970;0312983867;14
1400034779;1400031362;14
0449221504;0553280368;14
067976402X;0312195516;14
0440224764;0440220602;14
0312966091;0312983867;14
0449219364;0553280368;14
0515132020;0515126772;14
0312990456;0312971346;14
0440236673;044023722X;14
0142001740;0786868716;14
0515126772;0515132020;14
0515132020;0515128546;14
0385336179;0385335881;14
0449219461;0553280368;14
067976402X;0375727345;14
0842329250;0842329277;14
0060976845;0316666343;14
0060987529;0316666343;14
0374199698;0385504209;14
044022165X;0440220602;14
0811802981;0811801802;14
0671001795;0316666343;14
0380718332;0380718340;14
0345339711;0345339681;14
0375706771;0312195516;14
0553213148;0553213172;14
067976402X;044021145X;14
0743237188;0452282829;14
0553213172;0553213148;14
1400031362;1400034779;14
0842329269;0842329250;14
0440206154;0440224675;14
0449219364;0553271636;14
0060930535;0446672211;14
044022165X;0440214041;14
0553280368;0449221504;14
0425154092;0425169863;14
0515128554;0515131229;14
0743237188;0312195516;14
0842329218;0842332251;14
0786868716;0142001740;14
0553279556;0449221482;14
0156027321;0142001740;14
014028009X;0385504209;14
0446531332;0316666343;14
0345313860;0345384466;14
0842329277;0842329250;14
0380718340;0380718332;14
0316769487;043935806X;14
0060934417;0312195516;14
0515131229;0515128554;14
0842329250;0842329269;14
0446672211;0671003755;14
0515128546;0515132020;14
0345339681;0345339711;14
0385265700;0316601950;13
044022165X;0440221471;13
068484477X;0312195516;13
0312278586;0312195516;13
0842329218;0842329277;13
0449221512;0553280368;13
0446610038;0446605484;13
0440206154;0316666343;13
0515131229;0515126772;13
0842332251;0842329242;13
0446610038;0446612790;13
0446672211;0375707972;13
0440498058;0316666343;13
014028009X;0316666343;13
0515126772;0515131229;13
0553280368;0553284789;13
0440211727;0345370775;13
0440224675;0316666343;13
044022165X;0440211727;13
0385335482;0316666343;13
0449221504;0449221512;13
0316601950;0375707972;13
0140293248;0312278586;13
0441304834;0441001971;13
0060928336;014028009X;13
0060928336;0385504209;13
0446605239;0316666343;13
0316769487;0439064864;13
0440224764;0440236673;13
0440234743;0385504209;13
0375727345;0452282829;13
0440221471;044022165X;13
0440214041;0345370775;13
0440221471;0440234743;13
0375707972;0446672211;13
0446310786;0385504209;13
0385722206;0316666343;13
0142001740;1400031354;13
0316969443;0316666343;13
0316601950;0142001740;13
0671001795;0312195516;13
014028009X;0060928336;13
0441001971;0441304834;13
0553280368;0449221512;13
0375706771;0140293248;13
0671003755;0312195516;13
0440236673;0440224764;13
067976402X;014028009X;13
0061009059;0316666343;13
0441005748;0441002935;13
0449221512;0449221504;13
067976402X;0446310786;13
0842329242;0842332251;13
0553279912;0449221504;13
0345361792;0316666343;13
0842329269;0842329218;13
0312278586;0316096199;13
0441005241;0441003745;13
0441001971;0441004520;13
0064407691;0064407675;13
0441004520;0441001971;13
0449221482;0553280341;13
0451167317;0451156609;13
0449221482;0449219461;13
0446310786;0316666343;13
0345370775;0440211727;13
0449221482;0449219364;13
0515132020;0515128554;13
0446612790;0446610038;13
0070212570;0312195516;13
0440214041;0385504209;13
0375700757;0312195516;13
0425147622;0425169863;13
0452282829;0375727345;13
0440211727;0440224764;13
0553284789;0553280368;13
0345353145;0345370775;13
0316601950;0385265700;13
0375726403;0060934417;13
0375707972;0316601950;13
044023722X;0142001740;13
0312278586;0140293248;13
0064407675;0064407691;13
0446672211;0385265700;13
0140293248;0375706771;13
0345339681;059035342X;13
0451184963;0451167317;13
0425158616;0425154092;13
0312924585;0440211727;13
0060934417;0375726403;13
0451167317;0451184963;13
034538475X;0345409671;13
0446310786;043935806X;13
0316601950;0345439104;13
0316601950;0060976845;13
0553279912;0449219461;13
0345370775;0440214041;13
0440224764;0440214041;13
0425154092;0425158616;13
0553280341;0449221482;13
0345409671;034538475X;13
0142001740;044023722X;13
0312924585;0345313860;13
0345313860;0312924585;13
0440211727;0312924585;13
0375727345;0385504209;13
0553250531;0553289411;13
0439064864;0316769487;13
0375707972;0316666343;13
0451156609;0451167317;13
0440214041;0440224764;13
0425169863;0425147622;13
0425147622;0380718340;13
0385335881;0312278586;13
0440211727;059035342X;13
0743418174;0312278586;13
0452282829;0312195516;13
059035342X;0345339681;13
0842329277;0842329218;13
0380718340;0425147622;13
0440224764;0440211727;13
0515128554;0515132020;13
0449219461;0553279912;13
0743418174;0385504209;13
0446605484;0446610038;13
0449219364;0449221482;13
0440211727;044022165X;13
0446672211;0440226430;13
0385511612;0385504209;13
0440226430;0446672211;13
014028009X;067976402X;13
0446310786;067976402X;13
0312278586;0743418174;13
0449221504;0553279912;13
0060976845;0316601950;13
0441003745;0441005241;13
0345443284;0316666343;13
1400031354;0142001740;13
0316096199;0312278586;13
0385265700;0446672211;13
0312278586;0385335881;13
0060930535;0375706771;13
0345370775;044021145X;13
0842329218;0842329269;13
0441002935;0441005748;13
0553289411;0553250531;13
0345439104;0316601950;13
0446610038;0316666343;13
0375706771;0060930535;13
0440217563;0440212561;13
0440212561;0440217563;13
0449219461;0449221482;13
0440234743;0440221471;13
0345370775;0345353145;13
0553279912;0449221512;12
0425169863;0380718340;12
0345370775;0345380371;12
0312305060;0316666343;12
0671027387;0671027360;12
0439139597;0439136369;12
044022425X;0440215625;12
0451524934;0316769487;12
0316096199;0375726403;12
0671027360;0312995423;12
0449221504;0553279556;12
0312980140;0312983271;12
0440214041;0316666343;12
0452282152;0060934417;12
0345342968;059035342X;12
0312990456;0312976275;12
0425154092;0380718340;12
0345337662;0439064864;12
0316769487;0312195516;12
1400031346;1400031354;12
0440241073;0440225701;12
0375727345;0312195516;12
0441004520;0441000916;12
0441004520;0441003745;12
0064407683;0064407691;12
0440221471;0440225701;12
0375726403;0316096199;12
0553213148;055321313X;12
0446608955;0446610399;12
0446611212;0446610038;12
055321313X;0553213148;12
0684801523;0316769487;12
0440225701;0440241073;12
0446310786;0399501487;12
0316603287;0316666343;12
0804106304;0316666343;12
0316769487;0684801523;12
0375707972;0375706771;12
1400031354;1400031346;12
0842329269;0842329129;12
0440241073;0440236673;12
051513287X;0515126772;12
0553280341;0449219461;12
0425147622;0425158616;12
0842332251;0842329250;12
0375706771;0375707972;12
0451172817;0451184963;12
014028009X;0140298479;12
0375726403;0375727345;12
044023722X;0316666343;12
0449219461;0553280341;12
0425158616;0425147622;12
0140293248;0142001740;12
0439136369;0439139597;12
0142001430;0316666343;12
0515121843;0515128554;12
0375727345;0142000205;12
0515121843;0515128546;12
0452282152;0142001740;12
0743418174;0446672211;12
0316769487;0590353403;12
0449219461;0449221504;12
0842329250;0842332251;12
0060928336;0743418174;12
0804106304;0312195516;12
0441002935;0441005241;12
0553213180;0553213148;12
0425169863;0425163407;12
0425158616;0380718340;12
0312983271;0312980140;12
0515128554;051512317X;12
0345380371;0345370775;12
0316284955;0060928336;12
068484477X;0375707972;12
0743418174;0671003755;12
0805063897;0316666343;12
0440213525;0316666343;12
0743418174;0060928336;12
0671027360;0671027387;12
0451184963;0451172817;12
0316769487;0451524934;12
0515128546;051512317X;12
0449221504;0449219461;12
0671027360;0312195516;12
1573225789;0316666343;12
0439064864;0439139600;12
0142000205;0375727345;12
0345337662;0312924585;12
0446310786;044021145X;12
0441000916;0441004520;12
0452282829;0316666343;12
0060987103;0316666343;12
0553279912;0553284789;12
0449212602;0312195516;12
0345370775;0316666343;12
0684801523;0385504209;12
038079487X;0316666343;12
0385505833;0316666343;12
0312966091;0316666343;12
0590353403;0316769487;12
0552128481;0552131075;12
0425163407;0380718340;12
0441003745;0441004520;12
0375726403;0385504209;12
0140298479;014028009X;12
0446532231;0385504209;12
0375707972;068484477X;12
0140293248;0743418174;12
0312976275;0312990456;12
0312980140;0061009059;12
0515128546;0515121843;12
0786868716;0312195516;12
0312995423;0671027360;12
0440236673;0440241073;12
0743237188;0375727345;12
044023722X;0312195516;12
0345337662;0345409671;12
0552131075;0552128481;12
0316569321;0316666343;12
0399501487;0446310786;12
0515126772;051513287X;12
0446610399;0446608955;12
0345409671;0345337662;12
0842329129;0842329269;12
0380718340;0425154092;12
0441005241;0441002935;12
0375726403;0743418174;12
0671003755;0743418174;12
1400034779;0142001740;12
0380718340;0425163407;12
0060938455;0316666343;12
0439064864;0345337662;12
0553280368;0449221482;12
038550120X;0316666343;12
0553213148;0553213180;12
0064407691;0064407683;12
0380718340;0425158616;12
0449221512;0553279912;12
0380718340;0425169863;12
0061009059;0312966970;12
0515128554;0515121843;12
0446610038;0446611212;12
051512317X;0515128554;12
0440215625;044022425X;12
0553279556;0449221504;12
0440225701;0440221471;12
0312924585;0345337662;12
051512317X;0515128546;12
0312966970;0061009059;12
0061009059;0312980140;12
0425163407;0425169863;12
0060934417;0452282152;12
0553284789;0553279912;12
0449221482;0553280368;12
014028009X;059035342X;12
0440225701;044021145X;12
0439139600;0439064864;12
0553250531;0553280945;11
0671001795;0312983867;11
0385199570;0670835382;11
0373484224;0515128546;11
0316569321;0312195516;11
0060987103;0316769487;11
0375700757;0142001740;11
0842329277;0842329269;11
0385336179;0385335482;11
0060915544;0060921145;11
0312265867;0312265859;11
0671003755;0385484518;11
0440225701;0440220602;11
0312278586;0385504209;11
0553284789;0449223604;11
0842329218;084233226X;11
0452282829;0671021001;11
0345378490;0440213525;11
0670835382;0670839531;11
0345378490;044021145X;11
0345361792;0385504209;11
0375706771;0385720106;11
1400034779;0312195516;11
0446531332;0385504209;11
0440226430;014028009X;11
0451180232;0451186362;11
067976402X;0316284955;11
0446606189;0446604801;11
0446364193;0446610038;11
0515136379;0515132020;11
0449223604;0553284789;11
0451173317;0451160525;11
0671021001;0385504209;11
0060915544;0316666343;11
0061009059;0312195516;11
0451524934;0451526341;11
0743418204;0743418174;11
0688170528;0316666343;11
0312265859;0312265867;11
0452269571;0316666343;11
0060930535;0060928336;11
0446604801;0446606189;11
0671027360;0446672211;11
0684865742;0316666343;11
0440221471;0385504209;11
014025448X;0140254544;11
0449221504;0449221482;11
0440220602;0385504209;11
044022425X;0440212561;11
0515128546;0515131229;11
0670835382;0684853507;11
0385484518;067976402X;11
0312265867;0312980140;11
0449221504;0553280341;11
0316769487;0060987103;11
0671003755;0060976845;11
0375706771;0385484518;11
0312265867;0312966970;11
0440224764;0440221471;11
0312265867;0312966091;11
0440213525;059035342X;11
0670855030;0670868361;11
0060930535;0671038184;11
0449221490;0449221482;11
1558745157;1558743669;11
0449221504;0449219364;11
0446610038;0446608815;11
0684872153;0316666343;11
0151008116;0316666343;11
0440487617;0440498058;11
0804106304;0142001740;11
0440221471;0440220602;11
0515121843;0515122734;11
0449221504;0553271636;11
0440221471;0440224764;11
0060934417;0385504209;11
0064471055;0064471063;11
0385484518;0671003755;11
0375707972;0316569321;11
0842329218;084232920X;11
1400031354;0316666343;11
0439139600;0590353403;11
0439064872;0439139597;11
0451180232;0451176464;11
0449223604;0449219364;11
0440213525;0345378490;11
044651652X;0316666343;11
0553280341;0449221504;11
0345438329;0316666343;11
0060938455;0385504209;11
0449219364;0449221504;11
0440213525;0345370775;11
0842329269;0842329277;11
0449219364;0449223604;11
0316769487;0385504209;11
0375726403;0060987103;11
0441003745;0441000916;11
0060392452;0316666343;11
0375726403;0671003755;11
0446608955;0316666343;11
0345337662;0446672211;11
0670868361;0670855030;11
0451176464;0451184963;11
0515132020;0515136379;11
0140293248;0312195516;11
0451176464;0451180232;11
0451176464;0451172817;11
0060930535;0375727345;11
0451184963;0451176464;11
0618002235;0618002227;11
0804106304;059035342X;11
0553213148;0553213164;11
0446608955;0446672211;11
0671038184;0060930535;11
0440220602;0440225701;11
0425116840;0425109720;11
0385722206;0385504209;11
0312966970;0312265867;11
0440498058;0440487617;11
0440220602;0440221471;11
0446605239;0786868716;11
080410753X;0804106304;11
0312966091;0312265867;11
0671021001;0446672211;11
0439136350;0316769487;11
0842329242;084233226X;11
0553271636;0449221504;11
0440220602;044023722X;11
0156027321;0385722206;11
0345443284;0446672211;11
0446608815;0446610038;11
0684874350;0312195516;11
0441000916;0441003745;11
0060987103;0385504209;11
0553213172;0553213180;11
0553213180;0553213164;11
0440222656;0385504209;11
0441004520;0441005241;11
0060502258;0312195516;11
0446310786;0345342968;11
0515128554;051513287X;11
0451172817;0451156609;11
0440213525;044022165X;11
0375703055;0375727345;11
0449221490;0449221512;11
0060502258;0142001740;11
0451170385;0451167317;11
051513287X;0515128554;11
0385484518;0446605239;11
0060976845;0142001740;11
0441004520;0441005748;11
0553213164;0553213180;11
084233226X;0842329218;11
084233226X;0842329242;11
0439064872;044021145X;11
0440234743;0440225701;11
0451172817;0451167317;11
084232920X;0842329218;11
0451160525;0451173317;11
0553213164;0553213148;11
0345337662;044021145X;11
0385490992;0385424728;11
0446610038;0380718340;11
0451172817;0451176464;11
0440212561;044022425X;11
0385722206;0156027321;11
0380710218;044021145X;11
0345402871;0345353145;11
0316284955;067976402X;11
0743237188;0316601950;11
0446605239;0385484518;11
0446610038;0446364193;11
0060976845;0671003755;11
0671003755;0375726403;11
0380718332;0380717018;11
0142000205;0060987561;11
0439064872;0060928336;11
0804114986;0312195516;11
0385424728;0385490992;11
044022165X;0440213525;11
0375706771;0316601950;11
0312980140;0312265867;11
0375706771;0446672211;11
0671003755;0312278586;11
0670835382;0385199570;11
0380710218;0440214041;11
0553279378;0316666343;11
0971880107;0385504209;11
0515128554;0515124214;11
0590353403;0439139600;11
0449221490;0553279556;11
0440236673;0440225701;11
0312983867;0671001795;11
0380717018;0380718332;11
0515124214;0515128554;11
0671003755;059035342X;11
0316569321;0375707972;11
067976402X;0385484518;11
0452282829;0060928336;11
0425162443;0316601950;11
0451167317;0451172817;11
0060987561;0142000205;11
0380718340;0446610038;11
0515122734;0515121843;11
0451167317;0451170385;11
0316776963;0385504209;11
0060987103;0375726403;11
014028009X;0060987103;11
0451156609;0451172817;11
0786868716;0446605239;11
0452282152;0060930535;11
0449221482;0449221490;11
0446310786;0142001740;11
014028009X;0440226430;11
0439139597;0439064872;11
0684857820;0316666343;11
0060921145;0060915544;11
0312278586;0671003755;11
0345361792;0312195516;11
044023722X;0440213525;11
0441005748;0441004520;11
0441005748;0441001971;11
0553280945;0553250531;11
0515128546;0373484224;11
044023722X;0440214041;11
0440225701;0440236673;11
0151008116;0312195516;11
0804106304;080410753X;11
0060934417;0743418174;11
0060987103;014028009X;11
0441005241;0441004520;11
0385720106;0375706771;11
0609804138;0316666343;11
0345353145;0345402871;11
0684853507;0670835382;11
0670839531;0670835382;11
0553213180;0553213172;11
0609804138;0385504209;11
1558743669;1558745157;11
0671021001;0452282829;11
0451526341;0451524934;11
0553279912;0449219364;11
0345342968;0446310786;11
0140254544;014025448X;11
0064471063;0064471055;11
0449212602;0060928336;11
0618002227;0618002235;11
014029628X;0060928336;11
0441001971;0441005748;11
0425109720;0425116840;11
0060930535;0452282152;11
0385484518;0375706771;11
0385335482;0385336179;11
044023722X;0440220602;11
0451186362;0451180232;11
0553250426;0312195516;11
014029628X;0312195516;11
0345342968;0316769487;11
0440225701;0440234743;11
0449221482;0449221504;11
0515131229;0515128546;11
0345397819;0345384466;10
067976402X;0385722206;10
0515136530;051513287X;10
0345397819;034538475X;10
0312990456;0312980140;10
1400034779;0452282152;10
055321313X;0553213164;10
0385722206;0312305060;10
068484477X;0446310786;10
0345409671;0345313860;10
0345397819;0345404319;10
0312990456;0312983867;10
0425175405;0425154092;10
0688177751;0316666343;10
0142000205;0452282829;10
0446608815;0446606189;10
0449221490;0449221504;10
0451142934;0451156609;10
0060987103;0060934417;10
0385484518;0446608955;10
0345318854;0345313151;10
0842332251;0842329285;10
0670858692;0670839531;10
0446670111;0316666343;10
0385484518;0375727345;10
0671038184;0452282829;10
0670868361;0684853507;10
0452262143;0452279178;10
0684853507;0670868361;10
0385720106;067976402X;10
0439064872;0316666343;10
0060987561;067976402X;10
0440225701;0440214041;10
0425180638;0425147622;10
0385498721;0393319296;10
0060987561;0446672211;10
0671510053;067976402X;10
0670855030;0670839531;10
0425154092;0425175405;10
0515132020;0515120618;10
0553289411;0553250426;10
0590353403;0618002219;10
0670844527;0670839531;10
0316284955;0375727345;10
0590353403;0618002227;10
0449221490;0449223604;10
0060987103;0312195516;10
